"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test13_check_that_currency_is_a_three_letter_code_of_type_string_and_fits_to_the_requested_one[response2]","TestBookingAvailability.test13_check_that_currency_is_a_three_letter_code_of_type_string_and_fits_to_the_requested_one[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test12_check_that_responded_room_has_a_final_price_at_booking_and_or_a_final_price_at_checkout[response1]","TestBookingAvailability.test12_check_that_responded_room_has_a_final_price_at_booking_and_or_a_final_price_at_checkout[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","5","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test15_check_that_the_start_date_is_before_the_end_date[response0]","TestBookingAvailability.test15_check_that_the_start_date_is_before_the_end_date[response0]",""
"failed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","6","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test03_check_api_version[response1]","TestBookingAvailability.test03_check_api_version[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test04_check_dates[response1]","TestBookingAvailability.test04_check_dates[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test06_check_that_hotel_details_contains_a_name_of_type_string[response3]","TestBookingAvailability.test06_check_that_hotel_details_contains_a_name_of_type_string[response3]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test01_check_that_response_code_is_200[response1]","TestBookingAvailability.test01_check_that_response_code_is_200[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test09_check_that_hotel_details_contains_a_valid_url[response1]","TestBookingAvailability.test09_check_that_hotel_details_contains_a_valid_url[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test05_check_user_country[response1]","TestBookingAvailability.test05_check_user_country[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test08_check_that_hotel_details_contains_a_city_of_type_string[response0]","TestBookingAvailability.test08_check_that_hotel_details_contains_a_city_of_type_string[response0]",""
